34928	35047	35166	35285	35405	35524	35643	35762	35881	36001	36120	36239	36358	36478	36597	36716	36835	36954	37074	37193	37312	37431	37550	37670	37789	37908	38027	38146	38266	38385	38504	38623	38743	38862	38981	39100	39219	39339	39458	39577	39696	39815	39935	40054	40173	40292	40411	40531	40650	40769	40888	41007	41127	41246	41365	41484	41604	41723	41842	41961	42080	42200	42319	42438	42557	42676	42796	42915	43034	43153	43272	43392	43511	43630	43749	43869	43988	44107	44226	44345	44465	44584	44703	44822	44941	
65	23	105	36	93	60	46	25	18	75	39	98	97	115	90	137	69	115	55	62	37	65	163	131	320	261	212	119	474	376	348	163	786	994	661	1058	348	922	1367	1251	218	2248	1269	852	551	2166	2329	1730	1862	4136	3795	2155	5484	5446	2152	147	3264	5662	3847	2559	938	1811	1068	1012	619	325	397	507	194	239	58	72	85	97	110	86	206	22	121	64	229	148	180	73	234	
12103	13685	5783	7033	13358	5625	15286	4505	7974	8611	7661	2530	8620	9306	4151	4354	5914	2726	17265	7309	12008	18362	14453	6527	15538	20204	3516	5180	27215	23942	22285	40915	25351	16967	17911	47377	56686	43054	18924	30335	50228	61000	44246	46571	59757	35769	13917	10596	34915	29790	47784	51869	49527	46447	55838	61897	54041	8436	20619	44058	37004	5005	42165	14166	1844	17137	13633	27342	34224	7683	3582	7060	8848	7518	13943	10593	16839	4239	6331	6740	14631	7349	16310	9035	6399	
14293	18817	12042	4094	15268	17412	11164	10810	10781	8667	10828	3509	19180	11708	6869	6657	6357	19719	13310	11930	12888	11715	15108	10325	11054	24124	18319	3982	26199	7786	12544	15081	46958	42931	55618	39449	37763	1158	50506	46606	26243	32462	53162	29379	44487	51206	40217	59919	45314	28074	54486	3582	54270	19098	58151	17771	7658	25239	14023	13847	54913	64553	4655	55825	38463	31957	25714	21439	9025	20200	16232	9469	11769	3636	18888	2799	8628	12952	12103	3665	8457	16602	1243	6270	9120	
113	119	139	66	210	108	205	114	160	139	49	163	149	207	83	122	178	109	205	286	200	358	474	806	222	579	455	618	1069	1479	2174	2452	2451	3743	4249	4837	3975	4937	4155	3450	3534	5809	6138	6188	8087	8055	8124	8798	5913	5436	1192	1154	4763	7982	11000	10402	11463	9728	6905	3042	2783	1890	1277	2072	1283	1731	1101	1383	719	849	374	415	192	446	96	244	179	157	208	169	61	146	119	306	144	
7	67	62	60	93	92	75	86	24	104	65	81	87	95	73	145	94	100	98	58	150	199	240	126	142	9	104	108	495	884	610	398	254	929	719	356	248	1866	2655	1859	690	1534	743	1177	324	1526	1103	1690	1171	2502	4147	2602	6418	5700	1165	3200	5544	4441	2286	2172	937	2077	1135	843	392	251	422	597	317	258	284	204	72	143	200	220	105	91	65	52	99	211	164	132	159	
5675	2201	8330	10494	4827	9412	13149	2567	3287	11375	8322	2479	7699	11450	2654	6802	6022	11848	3444	10135	2254	12422	7794	4141	10092	6825	16953	4911	12137	10010	37118	29221	32714	10801	24650	29534	49244	34141	27983	30745	55484	44903	17804	57701	9264	55626	19980	35568	24401	13106	16744	22580	29738	40788	57147	24851	58783	55443	64751	6330	58072	63603	45186	4370	18481	28374	17140	11356	8273	9721	5352	8181	9982	9117	8789	6546	6196	15027	6872	4413	13040	8812	550	9039	3227	
14	43	4	60	22	19	56	30	87	28	74	7	69	34	67	71	21	97	17	129	87	112	145	80	218	12	226	72	215	86	217	73	248	420	668	1223	1689	1971	2377	2687	2713	2796	2520	3130	2211	2485	2387	2451	2635	2944	3315	3318	2920	4129	4475	5114	5176	4510	3832	2492	1663	1239	269	248	307	120	423	205	370	148	290	105	246	93	213	57	143	27	117	39	78	63	43	74	51	
263	211	157	253	121	222	174	304	207	150	110	136	120	152	233	92	104	200	202	99	90	256	232	156	254	315	457	376	699	964	798	415	1372	1157	336	459	1165	3014	3335	2324	1329	2169	2583	1478	1350	3716	4384	2540	558	2273	5503	6606	4524	2674	2169	2075	2839	3860	3854	2651	1546	1394	2303	1814	986	739	812	960	274	400	375	439	157	365	271	343	143	297	414	429	300	177	310	371	544	
388	287	237	159	95	150	213	256	369	469	510	567	696	695	717	780	792	714	699	705	640	557	538	569	586	810	959	1128	1347	1699	1990	2212	2539	2913	3199	3682	3910	4178	4669	5064	4882	5053	5621	5750	5797	5855	6274	6508	6129	6024	6568	6484	5304	5063	5601	5396	4727	5079	5136	4590	4060	3692	3457	2980	2533	2308	2006	1694	1397	1090	914	718	642	622	631	743	835	909	999	1050	1075	1096	1110	1086	1009	
