349283249,350475342,351667435,352859528,354051621,355243714,356435807,357627900,358819993,360012086,361204179,362396272,363588365,364780458,365972551,367164644,368356737,369548830,370740923,371933016,373125109,374317202,375509295,376701388,377893481,379085574,380277667,381469760,382661853,383853946,385046039,386238132,387430225,388622318,389814411,391006504,392198597,393390690,394582783,395774876,396966969,398159062,399351155,400543248,401735341,402927434,404119527,405311620,406503713,407695806,408887899,410079992,411272085,412464178,413656271,414848364,416040457,417232550,418424643,419616736,420808829,422000922,423193015,424385108,425577201,426769294,427961387,429153480,430345573,431537666,432729759,433921852,435113945,436306038,437498131,438690224,439882317,441074410,442266503,443458596,444650689,445842782,447034875,448226968,449419061
273,274,281,286,284,284,289,295,294,293,300,309,310,309,316,329,328,325,329,348,350,338,350,374,362,364,381,427,407,345,378,412,422,479,401,437,472,406,677,949,589,431,894,920,957,693,1098,723,601,1707,1900,1335,1721,1985,1360,2746,2627,1934,630,1247,1459,797,642,685,671,394,304,403,396,265,247,251,251,208,193,187,177,155,134,131,132,114,101,98,96
71,63,67,71,69,65,67,74,74,69,74,81,83,77,82,92,92,87,88,106,109,97,104,132,121,122,134,180,164,116,129,166,184,236,176,183,204,161,409,691,367,241,615,665,754,509,924,614,496,1461,1698,1139,1624,1984,1307,2699,2878,2245,839,1446,1776,1078,892,975,960,658,573,695,677,535,531,534,531,484,477,468,459,437,414,412,411,396,380,379,379
280,280,288,291,288,286,295,300,298,298,306,315,315,315,320,333,334,327,333,351,357,339,352,381,363,364,383,432,405,347,381,395,434,486,381,435,465,428,715,1018,540,446,888,928,987,762,1077,691,796,1839,1957,1277,1815,1997,1487,2850,2799,2076,628,1288,1594,849,660,745,730,429,320,450,443,292,280,289,287,238,231,228,219,191,173,174,172,154,140,145,140
282,288,296,299,294,297,305,311,305,306,318,324,321,322,337,345,341,337,352,365,362,359,375,400,372,378,408,439,443,357,384,456,455,502,375,485,452,504,702,949,591,516,769,886,1134,786,1028,871,543,1673,2145,1483,1303,2020,1728,2833,2404,1772,986,1248,1342,777,765,706,637,376,343,403,388,257,247,249,256,207,184,188,180,150,125,126,130,111,92,90,94
72,79,80,77,77,83,88,83,82,89,95,94,92,101,109,108,109,115,120,130,129,131,140,163,147,142,165,197,235,172,135,196,221,272,226,228,181,250,450,732,405,331,491,744,1008,521,802,681,307,1559,1997,1342,1266,1889,1942,2987,2688,1865,1161,1461,1668,1043,985,998,898,637,603,680,637,529,512,509,511,468,448,449,436,412,389,386,387,370,354,351,349
197,204,207,208,206,212,215,215,215,219,227,229,227,236,241,244,245,249,257,262,264,265,274,297,283,275,319,339,356,289,282,322,328,385,358,320,347,379,571,853,644,472,555,653,1039,670,690,863,436,1610,2124,1247,1433,2297,1592,2539,2494,1973,1041,1330,1473,947,885,831,776,536,509,577,539,408,420,412,411,375,362,355,337,319,305,299,294,287,275,269,265
286,287,293,298,294,296,302,309,308,309,317,325,324,324,334,340,343,338,345,362,365,367,373,397,384,381,414,437,452,349,380,424,440,476,383,444,479,502,685,948,580,373,796,977,1201,820,927,817,867,1638,1906,1337,1432,1872,1651,2527,2611,1891,969,1374,1521,874,786,777,706,464,384,468,423,297,293,283,270,235,218,215,202,174,154,153,150,132,117,114,114
299,304,312,312,308,312,321,325,321,325,336,339,339,343,352,359,358,356,365,381,382,381,394,420,392,399,442,470,459,382,394,464,465,523,399,533,473,523,754,993,632,399,883,997,1149,905,826,842,898,1791,1913,1320,1797,2218,1693,2575,2576,2089,860,1377,1505,815,747,718,679,402,369,452,393,282,281,272,268,230,212,208,197,169,145,142,143,128,109,106,106
278,281,289,289,285,289,297,300,298,300,312,316,313,318,328,337,333,332,341,355,354,354,363,394,363,373,407,428,448,353,371,455,395,495,430,442,442,501,707,917,633,407,858,901,1138,794,845,769,880,1509,1776,1427,1728,2142,1401,2743,2555,1902,881,1297,1476,780,766,675,645,403,359,425,385,279,282,269,267,236,223,208,193,183,162,151,152,147,132,120,120
