349283249	350475342	351667435	352859528	354051621	355243714	356435807	357627900	358819993	360012086	361204179	362396272	363588365	364780458	365972551	367164644	368356737	369548830	370740923	371933016	373125109	374317202	375509295	376701388	377893481	379085574	380277667	381469760	382661853	383853946	385046039	386238132	387430225	388622318	389814411	391006504	392198597	393390690	394582783	395774876	396966969	398159062	399351155	400543248	401735341	402927434	404119527	405311620	406503713	407695806	408887899	410079992	411272085	412464178	413656271	414848364	416040457	417232550	418424643	419616736	420808829	422000922	423193015	424385108	425577201	426769294	427961387	429153480	430345573	431537666	432729759	433921852	435113945	436306038	437498131	438690224	439882317	441074410	442266503	443458596	444650689	445842782	447034875	448226968	449419061	0	
272	453	390	218	412	464	218	310	525	389	142	421	451	165	393	594	389	143	446	403	47	482	563	217	463	692	308	585	1358	1407	892	1574	2568	2678	1964	969	1195	2160	3014	3200	2157	548	2202	3395	2789	667	1644	2443	2070	3146	4605	4025	1079	3793	7745	7857	5371	1254	2923	4495	3804	2166	1946	2073	1095	518	1331	1093	168	897	1148	591	303	783	630	174	611	629	208	461	677	391	272	682	650	0
1580	1446	2661	2182	999	1440	1442	1789	3307	606	457	1094	3654	2674	2136	1000	2686	5484	2812	2306	1716	2841	3672	3501	3268	2205	2210	6686	8466	9050	7862	5866	15166	13441	7594	17592	20394	31439	4859	17381	30431	13454	15730	32066	27829	24958	13177	36290	44073	36944	23175	60043	39770	43423	30571	38031	17304	11518	22570	9497	24555	15648	20854	12247	567	4288	9150	6797	4072	1482	4493	2453	3228	3690	683	2207	2309	1411	4103	1702	2248	875	3182	2200	828	0
216	240	297	303	318	311	326	331	331	305	292	289	313	316	312	316	373	395	402	420	410	442	404	409	414	449	547	535	713	1100	794	625	1240	1158	830	1134	1695	1662	366	1782	2682	2473	512	2270	3619	4781	4504	3975	5955	6770	6509	2892	3253	5286	5254	2397	2723	2379	1552	1015	1133	1004	1304	1893	1302	1419	1468	1217	1319	1315	1101	953	901	843	738	654	680	728	741	732	711	721	751	716	677	0
190	190	311	361	173	191	345	359	241	225	377	396	251	272	448	427	273	345	529	404	508	420	682	560	354	688	611	864	755	1315	1490	1403	1394	1411	1569	766	2401	1685	2856	2400	3214	676	2553	1782	3531	2919	4180	4735	4254	5067	5912	5790	8270	6289	5160	6715	5312	3191	2842	728	1469	770	2272	604	1049	238	525	1155	767	516	633	782	346	246	595	564	308	239	528	454	103	202	345	354	232	0
782	471	637	689	399	407	702	617	203	537	753	484	296	695	686	253	400	628	347	375	883	778	187	814	1232	822	620	1630	1949	1458	1884	3249	3745	3103	2163	2183	2254	2627	3642	3947	2782	431	2683	4326	3736	1380	1525	3072	3266	4261	6122	6216	3812	998	6167	7773	6430	3066	2828	4981	5081	3142	2210	3008	2679	1119	1107	1910	1366	150	1206	1477	707	425	1117	953	164	848	1158	709	437	951	874	340	826	0
4390	4407	4420	4422	4367	4422	4414	4416	4405	4387	4409	4462	4413	4410	4369	4404	4416	4390	4391	4353	4452	4443	4392	4296	4418	4365	4356	4340	4429	4191	4472	4335	4349	4118	4272	4035	4237	3627	4495	4142	4557	4151	4302	3950	4342	4902	5656	4875	3394	3900	3652	4249	1088	3241	7353	5396	5293	4704	4760	4477	4927	4796	5018	4707	4403	4444	4679	4532	4511	4499	4562	4543	4527	4443	4492	4498	4532	4497	4512	4505	4493	4535	4489	4476	4499	0
543	544	551	559	577	567	579	579	594	606	600	611	621	630	637	633	627	625	613	616	613	630	610	637	673	714	741	747	777	947	899	689	821	894	649	805	1124	1052	276	1197	1601	1376	791	1949	2960	3165	3187	3258	4773	4748	3036	2526	3728	3331	3437	1865	1520	1089	617	692	757	753	794	1091	766	912	931	843	914	862	741	713	664	614	534	497	488	492	477	467	460	489	490	479	470	0
533	532	545	551	564	559	553	563	576	583	580	591	607	620	616	614	609	615	591	588	581	601	583	607	643	675	730	708	738	921	878	633	753	885	642	678	1127	1184	110	1270	1653	1292	871	1931	2928	3234	3087	3170	4753	4768	3698	2279	3616	3587	3252	1611	1320	997	364	602	571	626	781	976	764	887	912	806	887	816	683	639	595	546	479	445	448	454	458	459	468	491	497	489	478	0
699	704	703	701	713	709	724	706	716	721	737	747	731	728	733	734	731	695	696	726	743	750	738	788	843	871	902	858	910	1096	833	682	927	922	682	1091	1267	987	473	1877	2013	1179	1292	2610	3333	3309	3092	3179	4819	4717	3026	2427	3615	3607	3499	2433	1934	1871	905	529	180	184	169	347	35	130	296	251	325	392	436	442	432	436	452	442	435	413	380	364	360	348	344	333	355	0
654	654	650	663	672	686	676	669	678	702	713	707	707	720	726	715	700	694	682	701	701	725	698	744	800	825	853	833	875	1093	939	646	849	965	700	886	1270	1164	298	1790	2079	1526	1286	2437	3446	3343	3154	3583	5154	5007	3485	2317	3607	3296	3004	1763	1341	1248	666	568	627	440	562	725	534	590	542	473	585	487	296	266	237	197	118	121	130	158	208	232	216	212	219	227	205	0
599	607	605	588	583	578	588	582	577	576	578	576	567	554	537	541	541	522	522	558	584	581	575	613	644	647	635	627	647	727	372	507	681	579	482	936	990	497	715	1832	1614	701	1296	2271	2789	2795	2495	2931	4625	4526	3302	2185	3768	3702	4046	3180	2611	2507	1305	504	472	590	402	886	659	690	906	877	903	995	1018	1004	996	977	943	899	877	844	798	769	771	781	789	781	804	0
633	637	635	647	663	670	666	659	672	687	684	696	696	704	710	698	691	687	667	685	702	709	691	723	785	797	846	817	857	1063	919	626	834	896	707	912	1236	1147	370	1775	2110	1551	1356	2459	3198	3440	3037	3741	5126	4940	3206	2504	3498	3220	3112	1808	1278	1278	507	635	610	508	663	754	553	630	636	505	615	524	372	329	293	248	182	172	180	199	229	254	247	247	242	257	233	0
667	674	675	678	682	693	695	684	688	703	718	720	709	718	726	716	710	700	689	715	736	745	727	770	830	850	882	838	916	1082	861	634	922	923	751	1040	1361	1112	531	1865	2006	1390	1457	2537	3380	3329	3186	3573	4985	4691	3066	2490	3413	3040	3354	1946	1552	1527	1006	493	438	342	458	507	305	392	367	233	358	302	205	165	162	130	123	122	125	118	125	130	127	99	83	83	100	0
579	588	592	599	613	618	609	612	621	634	641	648	646	663	662	661	664	644	633	642	644	667	642	669	716	739	779	755	795	1019	880	587	808	873	631	769	1165	1121	259	1499	1940	1341	1262	2133	2986	3260	2997	3475	5013	4589	3360	2384	3648	3421	3125	1843	1727	1160	257	526	612	592	698	869	609	744	718	629	720	653	534	488	454	401	317	308	309	317	326	342	342	362	360	358	348	0
671	681	677	687	696	702	708	704	715	720	725	741	741	735	744	739	734	719	708	729	749	767	746	789	839	868	892	883	919	1121	853	691	949	957	697	1057	1341	1081	557	1815	2109	1315	1567	2583	3369	3395	3322	3632	5159	4512	2879	2488	3583	3240	2951	1973	1589	1380	469	371	472	396	469	582	353	470	431	328	423	375	257	210	191	131	68	44	46	54	83	93	97	78	73	76	80	0
832	843	846	841	852	857	859	871	873	878	881	897	887	885	877	874	877	857	852	885	914	928	919	981	1038	1054	1068	1063	1128	1244	898	867	1150	1049	805	1316	1550	991	991	2306	2447	1391	1929	3044	3737	3634	3636	3898	5653	4663	2888	2150	3600	3269	2887	1918	1737	1565	397	273	276	231	182	497	129	296	395	281	341	428	421	407	433	431	417	398	403	405	366	353	359	359	352	356	376	0
739	747	746	751	763	768	773	773	779	788	803	805	802	807	816	809	803	781	770	806	830	830	820	876	926	952	979	967	1055	1181	900	797	1040	1014	766	1148	1391	1073	622	1905	2131	1361	1637	2678	3460	3443	3490	3765	5382	4436	3180	2193	3722	3536	2936	1930	1858	1349	168	237	372	325	262	494	258	391	385	257	374	358	309	264	267	235	223	201	203	193	175	168	171	144	147	156	171	0
798	805	804	803	811	825	823	822	826	833	850	855	846	842	846	835	839	812	806	839	864	866	859	918	961	975	1009	987	1075	1159	858	820	1069	967	766	1216	1418	990	778	2046	2184	1325	1677	2706	3464	3354	3449	3861	5203	4464	3339	2163	3803	3385	3460	2250	2225	1861	690	355	61	284	82	401	125	281	424	341	370	480	524	504	532	521	521	505	511	483	458	437	448	425	421	420	441	0
289	280	272	276	266	264	256	260	261	248	237	232	242	250	255	255	263	281	289	244	233	241	240	185	164	162	209	162	208	427	469	248	218	459	350	202	592	865	429	854	1149	850	535	1723	2511	2762	2958	3284	4832	5027	3839	2749	4017	3987	3981	2116	2142	1653	566	714	1032	1225	1064	1462	1221	1352	1386	1279	1382	1358	1219	1175	1131	1059	968	931	913	900	867	866	861	882	894	872	860	0
314	315	310	315	313	320	331	329	335	364	382	408	418	433	455	461	455	441	421	440	426	433	388	417	464	512	518	533	660	809	613	453	822	724	494	930	1172	913	240	1453	1576	1138	1104	2075	2986	3309	3323	3533	5129	4917	2963	3075	4489	4116	3480	2370	1989	1583	450	438	589	738	606	1031	749	846	863	779	889	841	710	689	638	553	469	422	413	389	344	339	344	384	392	372	370	0
318	329	321	328	323	332	349	344	363	373	407	433	444	457	474	472	480	467	433	445	448	461	407	446	525	533	582	594	680	854	657	533	759	732	657	921	1073	911	238	1495	1974	1445	1067	2390	3494	3395	3062	4058	5578	4865	3195	3059	4213	4196	3269	2143	1841	1459	382	799	745	812	763	1124	800	879	963	873	920	860	749	706	644	571	490	431	418	418	378	372	381	418	425	405	400	0
372	373	376	358	349	344	351	342	340	325	330	329	306	296	269	261	269	239	222	251	276	273	254	293	353	342	319	341	387	438	244	171	322	200	245	553	589	495	215	1156	1279	1017	691	1825	3134	3323	2594	3577	5395	4825	2957	3597	4168	3231	3877	3142	1844	1016	918	733	790	1187	1114	1443	1232	1380	1416	1324	1428	1376	1241	1206	1152	1082	985	929	927	908	875	858	876	899	900	881	877	0
180	51	274	293	171	70	306	300	157	92	316	319	179	140	353	340	189	188	363	356	348	367	466	466	312	432	426	415	348	741	625	1345	957	520	1675	330	1232	2116	794	2351	3596	1191	3670	3323	972	3152	4735	4685	3853	5913	4422	4632	6141	5002	4237	8911	3590	2337	2117	2095	1180	473	2549	649	1222	479	266	869	468	130	558	780	340	268	523	537	214	222	427	373	74	111	285	300	145	0
31	156	54	62	91	17	107	27	22	46	136	42	131	57	81	77	94	140	67	156	98	163	27	174	131	190	112	338	509	943	299	694	537	482	1006	933	545	2536	1837	844	726	2261	2600	2600	2690	1642	2532	2028	2508	5424	3415	2444	4451	6983	6618	2305	664	819	1451	1201	1485	1361	498	456	798	192	335	315	138	146	213	144	120	160	43	105	56	70	83	75	56	18	80	49	107	0
3545	8265	6436	4081	6503	2836	4536	3795	6523	1848	2695	6051	5916	8226	6641	5326	4540	9381	6834	8188	4774	6163	4527	11560	5974	5996	6410	4479	8772	10376	7392	30106	17580	38625	16046	57277	55130	62061	38785	14750	13318	12029	53478	44022	30780	65420	39090	52563	62799	29881	37236	19720	48437	22222	8156	39587	13627	19293	55329	45158	22537	56680	45093	21991	15410	9664	2743	17782	6134	13678	12657	2525	7735	9247	7360	7190	7642	12147	9998	2605	6202	5541	13084	12426	3892	0
49	109	7	64	65	56	72	51	47	67	159	11	112	67	144	93	226	136	56	290	270	154	269	204	82	53	344	265	759	907	287	653	687	938	793	752	410	2343	1886	924	628	2245	3401	3707	3193	1733	2484	2005	2406	4710	3446	2036	4008	7142	7393	4083	2040	1519	471	707	1179	1558	796	785	840	811	445	151	337	276	35	299	281	74	139	161	56	199	188	91	123	189	112	163	195	0
4468	4462	4436	4460	4427	4476	4491	4437	4418	4461	4403	4470	4478	4442	4428	4483	4419	4488	4440	4457	4423	4477	4468	4433	4484	4499	4459	4445	4430	4372	4469	4416	4607	4516	4364	4616	4267	4850	4449	4416	4360	4815	4371	3942	4673	4968	5016	4253	4920	5134	3933	3918	4147	4346	5849	4654	4151	4338	4449	4173	4301	4342	4421	4480	4319	4522	4498	4387	4432	4444	4435	4421	4368	4470	4467	4409	4449	4421	4470	4452	4418	4389	4467	4430	4457	0
128	94	380	289	94	119	350	347	142	211	377	386	144	253	449	371	183	324	507	441	316	419	616	537	311	611	728	646	529	848	1059	1742	741	1544	2074	394	1394	2274	1953	2775	3050	1376	1812	2702	2411	1394	5265	6048	6864	3145	6679	8183	4721	4262	5074	3435	6002	2046	1125	3277	933	1353	2484	762	1215	715	554	1261	404	518	838	503	319	331	544	662	161	322	563	396	44	170	416	343	190	0
4442	4437	4463	4455	4435	4415	4439	4435	4429	4445	4413	4439	4420	4470	4423	4398	4459	4427	4464	4424	4433	4449	4482	4430	4409	4401	4426	4416	4416	4469	4465	4637	4454	4430	4398	4307	4686	4196	4434	4547	4699	3997	4700	4803	4237	4329	4237	4708	4137	4836	4966	4697	4255	2778	5405	5251	4819	4312	4588	4678	4421	4235	4533	4465	4402	4488	4412	4440	4437	4546	4403	4405	4471	4444	4523	4410	4479	4457	4473	4486	4421	4465	4487	4430	4453	0
380	387	382	389	395	397	395	390	398	412	411	415	426	445	455	461	462	467	454	439	415	440	404	380	407	418	436	429	462	688	692	377	571	518	421	402	648	812	276	1215	1643	1142	790	1876	3258	3327	2905	3607	5333	4553	3679	2275	4323	3544	2926	2443	1602	708	893	994	1067	1132	1125	1305	1125	1190	1227	1097	1208	1162	994	966	913	842	779	732	716	702	709	702	696	702	691	685	669	0
125	87	172	194	97	138	226	186	105	213	232	126	174	278	217	122	276	314	149	192	339	281	158	281	319	184	229	353	291	228	214	214	198	579	591	214	495	1238	1401	1017	1256	1713	1039	438	1954	2802	1575	476	2933	3555	3838	2726	3688	5226	3297	1587	3359	3444	2477	870	2114	2463	1334	544	979	1094	617	146	719	814	384	332	546	377	283	459	386	139	303	400	221	164	351	302	102	0
